player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;round
Namse;Glistener Elf;Colossus Hammer;Sigarda's Aid;00;06;06;03;06;06;03;03;03;06;73
Michael W;Hushbringer;Phyrexian Dreadnought;Phyrexian Dreadnought;00;00;03;00;06;06;02;06;00;00;73
BlackHole;Exhume;Iona, Shield of Emeria;Miasmic Mummy;00;03;00;00;03;00;04;06;00;00;73
The Beast;One with Nothing;Reanimate;Serra's Emissary;03;06;06;00;06;00;06;06;03;03;73
lordfire;Hushbringer;Phyrexian Dreadnought;Lightning Greaves;00;00;03;00;00;00;02;06;00;00;73
Master_of_Desaster;The Tabernacle at Pendrell Vale;Vindicate;Blightsteel Colossus;00;00;06;06;06;00;06;06;00;06;73
Kratos Aurion;Clockspinning;Fury Charm;Murk Strider;00;02;01;00;02;00;00;02;00;01;73
lollonator;Soulless Jailer;Clockspinning;Banisher Priest;03;00;00;00;00;00;02;00;03;01;73
P0LTERGEIST;Glistener Elf;Berserk;Scale Up;03;06;06;03;06;06;06;03;00;03;73
hug77;Iona, Shield of Emeria;Reanimate;Bazaar of Baghdad;03;06;06;03;06;00;04;04;03;00;73
