player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;round
Namse;Soltari Visionary;Wasteland;Okiba Reckoner Raid;00;00;03;02;06;06;06;00;02;00;00;47
NumiChan;Black Lotus;Nevermore;Okiba Reckoner Raid;06;00;02;02;06;00;00;02;02;06;00;47
IMP;Infernal Grasp;Urborg, Tomb of Yawgmoth;Okiba Reckoner Raid;03;02;00;00;00;00;02;02;00;02;02;47
Michael W;Ensnaring Bridge;Power Conduit;Okiba Reckoner Raid;02;02;06;00;01;00;00;06;06;02;06;47
The Beast;Underground Sea;Mishra's Factory;Tribute to Horobi;00;00;06;04;00;06;03;03;04;03;06;47
hug77;Saprazzan Cove;Maze of Ith;Kiora Bests the Sea God;00;06;06;06;00;00;03;02;06;06;06;47
BlackHole;Dryad Arbor;Force of Vigor;Tales of Master Seshiro;00;06;02;06;03;03;00;00;02;00;06;47
The green one;Nyxathid;Shining Shoal;The Kami War;06;02;02;00;03;02;06;00;00;02;00;47
P0LTERGEIST;Ensnaring Bridge;Scalding Tongs;Okiba Reckoner Raid;02;02;06;00;01;00;02;06;00;06;06;47
Master_of_Desaster;Black Lotus;Black Lotus;Kiora Bests the Sea God;06;00;06;02;03;00;06;02;00;00;06;47
lollonator;Snapback;Memnite;Okiba Reckoner Raid;06;06;02;00;00;00;00;06;00;00;00;47
