player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;result_11;round
Namse;Nezumi Shortfang // Stabwhisker the Odious;Collective Brutality;Golgari Rot Farm;00;00;06;06;06;06;00;02;00;06;03;00;58
Kratos Aurion;Wasteland;Inkmoth Nexus;The Tabernacle at Pendrell Vale;06;00;02;00;02;06;00;00;01;02;06;02;58
BlackHole;Tinder Farm;Old-Growth Dryads;Rip Apart;00;02;00;00;00;02;00;00;00;06;00;03;58
Michael W;Cathedral of War;Mishra's Factory;Mishra's Factory;00;06;06;00;00;06;00;06;00;06;00;03;58
IMP;Oran-Rief, the Vastwood;Crashing Footfalls;Crashing Footfalls;00;02;06;06;00;06;03;06;00;06;00;03;58
lollonator;Force of Will;Snapback;Memnite;00;00;02;00;00;00;06;06;06;02;06;00;58
The green one;Tanglepool Bridge;Hexdrinker;Wasteland;06;06;06;06;03;00;00;00;03;06;03;06;58
Master_of_Desaster;Leyline of Anticipation;Black Lotus;Elite Spellbinder;02;06;06;00;00;00;06;00;06;06;06;02;58
hug77;Shelldock Isle;Emrakul, the Aeons Torn;Lion's Eye Diamond;06;04;06;06;06;00;03;00;00;06;06;00;58
pianotoad;Dwarven Ruins;Monastery Swiftspear;Fury Charm;00;02;00;00;00;02;00;00;00;00;00;00;58
The Beast;Selesnya Sanctuary;Summer Bloom;Admonition Angel;03;00;06;06;06;00;03;00;00;06;00;03;58
P0LTERGEIST;Wasteland;Karakas;Inkmoth Nexus;06;02;03;03;03;06;00;02;06;06;03;00;58
