player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;result_11;round
Namse;Leyline of Singularity;Karakas;Inkmoth Nexus;00;01;06;06;06;06;00;06;06;06;00;06;126
Schniggi;Mishra's Factory;Wasteland;The Tabernacle at Pendrell Vale;04;00;06;06;02;06;02;06;06;06;02;00;126
lollonator;Imodane's Recruiter // Train Troops;Burning-Tree Emissary;Black Lotus;00;00;00;00;00;03;06;06;00;00;00;00;126
Silver Seraph;Fountain of Cho;Realm-Cloaked Giant // Cast Off;Shepherd of the Flock // Usher to Safety;00;00;06;00;00;06;00;06;00;06;00;00;126
Michael W;Spellscorn Coven // Take It Back;City of Traitors;Retrofitter Foundry;00;02;06;06;00;06;06;06;03;06;06;06;126
The Beast;Bramble Familiar // Fetch Quest;Bazaar of Baghdad;Emrakul, the Aeons Torn;00;00;03;00;00;00;06;00;00;00;00;00;126
Sterni;Bottomless Vault;Murderous Rider // Swift End;Aclazotz, Deepest Betrayal // Temple of the Dead;06;02;00;06;00;00;00;06;00;06;02;00;126
Optimiert;Brazen Borrower // Petty Theft;Force of Will;Memnite;00;00;00;00;00;06;00;00;00;06;00;00;126
hug77;Force of Will;Snapback;Flaxen Intruder // Welcome Home;00;00;06;06;03;06;06;06;00;06;06;02;126
BlackHole;Leyline of Anticipation;Black Lotus;Boromir, Warden of the Tower;00;00;06;00;00;06;00;00;00;00;00;00;126
Master_of_Desaster;Murderous Rider // Swift End;Spellscorn Coven // Take It Back;Subterranean Hangar;06;02;06;06;00;06;02;06;00;06;00;00;126
Sedris;Black Lotus;Predator Ooze;Sapphire Dragon // Psionic Pulse;00;06;06;06;00;06;06;06;02;06;06;00;126
