player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;round
Namse;Tundra;Daze;Healer's Hawk;00;00;03;02;03;02;04;03;9
Choke;Subterranean Hangar;Gifted Aetherborn;Hooded Blightfang;06;00;00;06;00;06;06;06;9
hoempes;Black Lotus;Lurrus of the Dream-Den;Liliana of the Veil;03;06;00;06;03;00;06;06;9
The green one;Plains;Vault Skirge;Vault Skirge;02;00;00;00;00;06;06;06;9
hug77;Elspeth Sun's Champion;Black Lotus;Black Lotus;03;06;03;06;00;00;06;06;9
The Beast;Leyline of Anticipation;Black Lotus;Vryn Wingmare;02;00;06;00;06;00;00;06;9
Master_of_Desaster;Mishra's Workshop;Reinforced Bulwark;Scalding Tongs;01;00;00;00;00;06;00;00;9
Fallen Azrael;Black Lotus;Cryptolith Fragment;Soulmender;03;00;00;00;00;00;06;00;9
