player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;round
Namse;Black Lotus;Wasteland;Aboleth Spawn;00;06;06;06;06;02;06;03;00;06;09;65
lollonator;Chancellor of the Annex;Wasteland;Chancellor of the Forge;00;00;06;02;02;06;02;00;02;02;00;65
Michael W;Dark Depths;Thespian's Stage;City of Traitors;00;00;00;00;00;00;00;00;00;02;09;65
Kratos Aurion;Chancellor of the Annex;Chancellor of the Forge;Wasteland;00;02;06;00;02;06;02;00;02;02;00;65
lordfire;Chancellor of the Annex;Wasteland;Chancellor of the Forge;00;02;06;02;00;06;02;00;02;02;00;65
The Beast;Chancellor of the Annex;Icatian Store;Strip Mine;02;00;06;00;00;00;00;00;06;02;00;65
hug77;Chancellor of the Annex;Chancellor of the Forge;Wasteland;00;02;06;02;02;06;00;00;02;02;00;65
P0LTERGEIST;Black Lotus;Thassa's Oracle;Cavern of Souls;03;06;06;06;06;06;06;00;00;06;00;65
Master_of_Desaster;Force of Will;Snapback;Chancellor of the Forge;06;02;06;02;02;00;02;06;00;00;09;65
BlackHole;Chancellor of the Annex;Fountain of Cho;Maze of Ith;00;02;02;02;02;02;02;00;06;00;00;65
