player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;result_11;result_12;round
Namse;Force of Will;Snapback;Chancellor of the Forge;00;06;06;06;02;02;06;06;06;02;00;06;04;16
The Beast;Dark Depths;Thespian's Stage;City of Traitors;00;00;00;06;06;06;00;01;02;00;06;02;00;16
BlackHole;Wasteland;Peat Bog;Vengeful Reaper;00;06;00;00;02;02;00;06;02;02;04;06;02;16
Michael W;Island;Black Lotus;Oko, Thief of Crowns;00;00;06;00;00;00;06;00;02;00;06;00;06;16
lollonator;Force of Will;Slippery Bogle;Dryad Arbor;02;00;02;06;00;02;06;06;02;02;00;00;02;16
The green one;Force of Will;Slippery Bogle;Dryad Arbor;02;00;02;06;02;00;06;06;02;02;00;00;02;16
P0LTERGEIST;Black Lotus;Leyline of Anticipation;Magus of the Moon;00;06;06;00;00;00;00;06;02;00;06;06;06;16
Hoempes;Urborg, Tomb of Yawgmoth;Vampire Hexmage;Dark Depths;00;04;00;06;00;00;00;00;02;00;06;04;00;16
»Arcanis«;Wasteland;Force of Will;Snapback;00;02;02;02;02;02;02;02;00;02;00;02;02;16
hug77;Force of Will;Snapback;Dryad Arbor;02;06;02;06;02;02;06;06;02;00;00;06;02;16
Vhaleru;Mishra's Factory;Mishra's Factory;Mishra's Factory;06;00;01;00;06;06;00;00;06;06;00;02;00;16
Hasran Ogress;Dark Depths;City of Traitors;Thespian's Stage;00;02;00;06;06;06;00;01;02;00;06;00;00;16
Master_of_Desaster;Mishra's Workshop;Ensnaring Bridge;Scalding Tongs;01;06;02;00;02;02;00;06;02;02;06;06;00;16
