player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;result_11;round
Namse;Boseiju, Who Endures;Crashing Footfalls;Collector Ouphe;00;06;06;06;06;06;06;02;01;06;06;06;52
Kratos Aurion;Cavern of Souls;Permeating Mass;Kataki, War's Wage;00;00;00;04;02;02;06;00;00;02;06;06;52
The Beast;Leyline of Singularity;Karakas;Inkmoth Nexus;00;06;00;02;03;06;06;06;02;06;06;00;52
IMP;Gut Shot;Gorilla Shaman;Black Lotus;00;01;02;00;02;00;00;06;00;02;00;06;52
lollonator;Karakas;Mutavault;Stony Silence;00;02;03;02;00;02;00;00;00;00;00;00;52
BlackHole;Leyline of Anticipation;Black Lotus;Collector Ouphe;00;02;00;06;02;00;00;00;00;00;00;06;52
Master_of_Desaster;Force of Will;Misthollow Griffin;Collector Ouphe;00;00;00;06;06;06;00;06;02;02;06;06;52
Michael W;Tolarian Academy;Master of Etherium;Titania's Song;02;06;00;00;06;06;00;00;00;06;02;00;52
hug77;Mishra's Workshop;Null Rod;Lupine Prototype;04;06;02;06;06;06;02;06;00;04;02;00;52
The green one;Plains;Toolcraft Exemplar;Toolcraft Exemplar;00;02;00;02;06;06;02;00;01;00;00;00;52
SoulCollector;Hall of Storm Giants;Ensoul Artifact;Force of Will;00;00;00;06;06;06;00;02;02;06;00;00;52
P0LTERGEIST;Collector Ouphe;Endurance;Force of Vigor;00;00;06;00;06;00;00;06;06;06;06;00;52
