player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;round
Namse;Myr Superion;Myr Superion;Myr Superion;00;06;06;00;00;06;00;00;06;72
Kratos Aurion;Sol Ring;Anointed Peacekeeper;Soul Partition;00;00;00;00;00;03;01;03;03;72
lollonator;Aether Channeler;Tidehollow Sculler;Bitterblossom;00;06;00;00;00;06;01;00;06;72
Michael W;Goblin Welder;Eon Hub;The Underworld Cookbook;06;06;06;00;04;06;03;01;06;72
The Beast;Curse of Silence;Assassin's Trophy;Stonehoof Chieftain;06;06;06;01;00;06;03;03;06;72
BlackHole;Gaddock Teeg;Sanctum Prelate;Gideon Blackblade;00;03;00;00;00;00;00;00;00;72
hug77;Curse of Silence;Anointed Peacekeeper;Nicol Bolas, Dragon God;06;04;04;03;03;06;00;03;06;72
P0LTERGEIST;Sphere of Resistance;Clockspinning;Chancellor of the Forge;06;03;06;04;03;06;03;00;00;72
Master_of_Desaster;Wasteland;Anointed Peacekeeper;Anointed Peacekeeper;00;03;00;00;00;06;00;06;00;72
