player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;round
Namse;Mishra's Workshop;Wurmcoil Engine;Lux Cannon;00;06;04;00;00;06;00;06;06;06;67
Kratos Aurion;Plains;Change of Heart;Monastery Mentor;00;00;06;00;00;00;02;00;06;03;67
lollonator;Wasteland;Akroan Horse;Porcelain Legionnaire;01;00;00;00;00;00;00;00;00;00;67
The Beast;Mishra's Workshop;Composite Golem;The Kami War;06;06;06;00;06;02;04;06;06;04;67
Michael W;Island;Erratic Portal;Rishadan Footpad;06;06;06;00;00;00;02;06;00;00;67
hug77;Forest;Garruk Relentless;Beast Within;00;06;06;02;06;00;06;06;00;01;67
lordfire;Plains;Windborn Muse;Faith's Fetters;06;02;06;01;02;00;00;06;00;00;67
BlackHole;Forest;Elvish Piper;Iona, Shield of Emeria;00;06;06;00;00;00;00;00;02;04;67
P0LTERGEIST;City of Traitors;Thought-Knot Seer;Reality Smasher;00;00;06;00;06;06;06;02;00;02;67
Master_of_Desaster;City of Traitors;Gilded Lotus;Carnage Tyrant;00;03;06;01;06;04;06;01;02;00;67
