player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;round
Namse;City of Traitors;Isochron Scepter;Verdant Command;00;00;00;06;06;06;00;06;02;06;34
Michael W;Urza's Saga;Sol Ring;Power Conduit;06;00;00;06;06;06;00;06;06;03;34
QKey;Retrofitter Foundry;Pithing Needle;City of Traitors;06;06;00;00;00;00;00;06;02;00;34
thiefAaron;Peat Bog;Bitterblossom;Bitterblossom;00;00;06;00;03;00;00;06;00;00;34
the green one;Oran-Rief the Vastwood;Crashing Footfalls;Crashing Footfalls;00;00;06;03;00;03;00;06;06;00;34
Bongoking;Peat Bog;Bitterblossom;Sanctum of Stone Fangs;00;00;06;06;03;00;06;06;00;00;34
The Beast;Black Lotus;Pithing Needle;Ensoul Artifact;06;06;06;06;06;00;00;06;06;00;34
hug77;Shelldock Isle;Lion's Eye Diamond;Storm Herd;00;00;00;00;00;00;00;00;00;00;34
lollonator;Illness in the Ranks;Bottomless Vault;Liliana, the Last Hope;02;00;02;06;00;06;00;06;00;06;34
Master_of_Desaster;Black Lotus;Argivian Find;Empty the Warrens;00;03;06;06;06;06;06;06;00;00;34
