player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;result_11;round
Namse;Black Lotus;Black Lotus;Shadrix Silverquill;00;03;03;03;00;00;06;03;06;06;00;06;25
Michael W;Black Lotus;Black Lotus;Shadrix Silverquill;03;00;03;03;00;00;06;03;06;06;00;06;25
Bongoking;Black Lotus;Elite Spellbinder;Maze of Ith;03;03;00;03;06;00;06;03;06;06;02;02;25
Hoempes;Black Lotus;Lurrus of the Dream-Den;Elite Spellbinder;03;03;03;00;06;04;06;03;06;06;00;06;25
lollonator;Karakas;Isamaru, Hound of Konda;Detention Vortex;06;06;00;00;00;02;04;06;06;06;00;02;25
hug77;The Tabernacle at Pendrell Vale;Bottomless Vault;Professor Onyx;06;06;06;01;02;00;00;06;00;06;06;02;25
BlackHole;Wasteland;Swamp;Valentin, Dean of the Vein // Lisette, Dean of the Root;00;00;00;00;01;06;00;00;06;06;00;06;25
Master_of_Desaster;Black Lotus;Black Lotus;Shadrix Silverquill;03;03;03;03;00;00;06;00;06;06;00;06;25
NumiChan;Eater of Days;Strixhaven Stadium;Mishra's Workshop;00;00;00;00;00;06;00;00;00;06;00;06;25
The green one;Geothermal Crevice;Hapatra, Vizier of Poisons;Witherbloom Command;00;00;00;00;00;00;00;00;00;00;02;00;25
thiefAaron;Elite Spellbinder;Black Lotus;Leyline of Anticipation;06;06;02;06;06;00;06;06;06;02;00;02;25
P0LTERGEIST;Multiple Choice;Saprazzan Cove;Archmage's Charm;00;00;02;00;02;02;00;00;00;06;02;00;25
