player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;round
Namse;City of Traitors;Lupine Prototype;Phyrexian Revoker;00;00;06;00;04;06;06;06;03;71
Kratos Aurion;Leyline of Anticipation;Elite Spellbinder;Black Lotus;06;00;06;02;02;06;06;06;06;71
BlackHole;Black Lotus;Black Lotus;Garruk, Apex Predator;00;00;00;00;06;00;00;06;03;71
Master_of_Desaster;Black Lotus;Leyline of Anticipation;Anointed Peacekeeper;06;02;06;00;02;06;06;06;06;71
hug77;Ashiok, Nightmare Muse;Black Lotus;Maze of Ith;01;02;00;02;00;00;01;06;03;71
lordfire;City of Traitors;Phyrexian Revoker;Kaya, Ghost Assassin;00;00;06;00;06;00;00;06;04;71
Michael W;City of Traitors;Phyrexian Revoker;Hangarback Walker;00;00;06;00;04;06;00;06;03;71
The Beast;Grist, the Hunger Tide;Cavern of Souls;Swarmyard;00;00;00;00;00;00;00;00;03;71
P0LTERGEIST;Dovin, Hand of Control;City of Traitors;Kaya, Ghost Assassin;03;00;03;00;03;01;03;03;00;71
