player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;round
Namse;Black Lotus;Lotus Bloom;Rotting Regisaur;00;06;00;06;01;00;02;06;06;00;02;108
Silver Seraph;Leyline of Anticipation;Black Lotus;Elite Spellbinder;00;00;06;02;06;06;06;02;02;06;06;108
Michael W;Black Lotus;Magus of the Tabernacle;Mox Pearl;06;00;00;00;03;06;02;00;00;00;02;108
Master_of_Desaster;Leyline of Anticipation;Black Lotus;Anointed Peacekeeper;00;02;06;00;06;06;06;02;02;00;02;108
lollonator;Black Lotus;Thalia, Guardian of Thraben;Giver of Runes;04;00;03;00;00;03;06;00;00;03;06;108
BlackHole;Black Lotus;Mother of Runes;Skrelv's Hive;06;00;00;00;03;00;06;00;00;06;00;108
IMP;Black Lotus;Deadeye Harpooner;Memnite;02;00;02;00;00;00;00;00;00;00;00;108
lordfire;Leyline of Anticipation;Black Lotus;Anointed Peacekeeper;00;02;06;02;06;06;06;00;02;00;02;108
The Beast;Leyline of Anticipation;Black Lotus;Anointed Peacekeeper;00;02;06;02;06;06;06;02;00;00;02;108
hug77;Hydroelectric Specimen // Hydroelectric Laboratory;Seal of Removal;Chronomaton;06;00;06;06;03;00;06;06;06;00;02;108
P0LTERGEIST;Strength of the Harvest // Haven of the Harvest;Drop of Honey;Cenn's Tactician;02;00;02;02;00;06;06;02;02;02;00;108
