player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;round
Namse;City of Traitors;Lupine Prototype;Lupine Prototype;00;00;06;06;00;06;00;00;89
lollonator;Karakas;Isamaru, Hound of Konda;Wasteland;06;00;00;06;00;06;06;00;89
Kratos Aurion;City of Traitors;Hex Parasite;Epochrasite;00;06;00;06;00;06;00;00;89
The Beast;Chalice of the Void;City of Traitors;Lupine Prototype;00;00;00;00;03;02;03;03;89
Michael W;City of Traitors;Black Lotus;Saproling Burst;06;06;06;03;00;06;03;03;89
BlackHole;Hickory Woodlot;Bayou Groff;Brindle Shoat;00;00;00;02;00;00;00;00;89
hug77;Shelldock Isle;Lion's Eye Diamond;Emrakul, the Aeons Torn;06;00;06;03;03;06;00;02;89
P0LTERGEIST;Black Lotus;Liliana of the Veil;Nether Spirit;06;06;06;03;03;06;02;00;89
