player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;round
Namse;Ensnaring Bridge;Chancellor of the Dross;Elspeth Knight Errant Emblem;00;01;01;06;00;06;00;00;06;00;06;57
IMP;Mishra's Workshop;Ensnaring Bridge;Elspeth Knight Errant Emblem;04;00;01;06;00;06;00;00;06;00;06;57
Kratos Aurion;Kiln Fiend;Brute Force;Domri Rade Emblem;04;04;00;03;00;00;00;00;00;00;00;57
Michael W;Black Lotus;Windborn Muse;Domri Rade Emblem;00;00;03;00;00;00;00;00;06;00;06;57
BlackHole;Island;Foil;3/3-Token mit Lifelink;06;06;06;06;00;06;06;06;06;06;06;57
Bongoking;Illusionary Mask;City of Traitors;Domri Rade Emblem;00;00;06;06;00;00;00;00;04;06;06;57
hug77;Ensnaring Bridge;Bottle Gnomes;Liliana Defiant Necromancer Emblem;06;06;06;06;00;06;00;03;06;06;06;57
P0LTERGEIST;Ensnaring Bridge;Bottle Gnomes;Liliana Defiant Necromancer Emblem;06;06;06;06;00;06;03;00;06;06;06;57
lollonator;Torpor Orb;Phyrexian Dreadnought;Elspeth Knight Errant Emblem;00;00;06;00;00;01;00;00;00;04;06;57
Master_of_Desaster;Leonin Squire;Tendrils of Agony;3/3-Token mit Lifelink;06;06;06;06;00;00;00;00;01;00;06;57
The green one;Urborg, Tomb of Yawgmoth;Hunted Horror;Domri Rade Emblem;00;00;06;00;00;00;00;00;00;00;00;57
