player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;round
Namse;Approach of the Second Sun;Ashiok's Erasure;Ashiok's Erasure;00;00;00;06;06;06;06;06;06;06;31
thiefAaron;Emrakul, the Promised End;Ulamog, the Ceaseless Hunger;Summary Dismissal;06;00;03;00;03;06;04;00;02;00;31
hug77;Ulamog, the Infinite Gyre;AEthersnatch;Mindbreak Trap;06;03;00;06;00;06;06;02;02;06;31
The Beast;Progenitus;Draining Whelk;Time Stop;00;06;00;00;06;06;06;00;02;02;31
P0LTERGEIST;Emrakul, the Promised End;Ulamog, the Infinite Gyre;Ulamog, the Ceaseless Hunger;00;03;06;00;00;06;06;00;06;00;31
lollonator;Surrak Dragonclaw;Ashen Rider;Ulamog, the Infinite Gyre;00;00;00;00;00;00;06;06;02;00;31
BlackHole;Felidar Sovereign;Beacon of Immortality;Last Word;00;01;00;00;00;00;00;02;01;02;31
The green one;Blazing Archon;Spelljack;Sublime Epiphany;00;06;02;06;06;00;02;00;01;06;31
Bongoking;Summary Dismissal;Summary Dismissal;Chandra, Awakened Inferno;00;02;02;02;00;02;04;04;00;02;31
Master_of_Desaster;Time Stop;Scholar of the Ages;Cryptic Command;00;06;00;02;06;06;02;00;02;00;31
