player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;round
Namse;Barkchannel Pathway // Tidechannel Pathway;Crashing Footfalls;Durkwood Baloth;00;06;04;02;06;03;02;06;00;04;37
The green one;Inkmoth Nexus;Journey to Nowhere;Karakas;00;00;06;06;03;00;00;06;00;00;37
QKey;Slaughter Specialist;The Tabernacle at Pendrell Vale;Urborg, Tomb of Yawgmoth;01;00;00;04;02;03;02;06;02;00;37
Michael W;Sol Ring;The Tabernacle at Pendrell Vale;Urza's Saga;02;00;01;00;02;03;00;06;02;01;37
BlackHole;Anurid Scavenger;Black Lotus;Council's Judgment;00;03;02;02;00;00;06;00;06;03;37
The Beast;Sol Ring;Thorn of Amethyst;Urza's Saga;03;06;03;03;06;00;04;03;03;03;37
Master_of_Desaster;Brushland;Crashing Footfalls;Detention Vortex;02;06;02;06;00;01;00;06;00;06;37
lollonator;Allosaurus Shepherd;Black Lotus;Collector Ouphe;00;00;00;00;06;03;00;00;03;00;37
NumiChan;Argivian Find;Black Lotus;Court of Grace;06;06;02;02;00;03;06;03;00;03;37
hug77;Blooming Marsh;Crashing Footfalls;Divest;01;06;06;04;03;03;00;06;03;00;37
