player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;result_11;round
Namse;Force of Will;Force Spike;Wurmcalling;00;06;06;06;00;03;00;06;06;00;02;00;97
Silver Seraph;Leyline of Anticipation;Black Lotus;Collector Ouphe;00;00;02;00;00;00;06;00;06;00;06;00;97
Kratos Aurion;Leyline of Anticipation;Black Lotus;Collector Ouphe;00;02;00;00;00;00;06;00;06;00;06;00;97
lollonator;Sprout Swarm;Capsize;Force of Will;00;06;06;00;00;02;00;06;06;00;06;00;97
Michael W;Tolarian Academy;Urza's Saga;Brazen Borrower;06;06;06;06;00;06;03;06;06;06;06;06;97
Master_of_Desaster;Leyline of Singularity;Karakas;Cenn's Tactician;02;06;06;02;00;00;02;04;06;02;06;06;97
hug77;Blot out the Sky;Assassin's Trophy;An Offer You Can't Refuse;06;00;00;06;03;02;00;06;00;03;06;03;97
BlackHole;Peat Bog;Nezumi Shortfang // Stabwhisker the Odious;Infernal Grasp;00;06;06;00;00;01;00;00;06;00;00;06;97
lordfire;Collector Ouphe;Old-Growth Dryads;Black Lotus;00;00;00;00;00;00;06;00;00;00;00;00;97
The Beast;Force of Will;Snapback;Blot out the Sky;06;06;06;06;00;02;03;06;06;00;06;03;97
P0LTERGEIST;Force of Negation;Supply // Demand;Far // Away;02;00;00;06;00;00;00;06;06;00;00;00;97
Sterni;Teething Wurmlet;Elvish Archivist;Havenwood Battleground;06;06;06;06;00;00;03;00;06;03;06;00;97
