player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;round
Namse;Leyline of Anticipation;Angel of Jubilation;Amazing Acrobatics;00;02;02;06;06;06;00;06;00;06;00;140
Michael W;Mister Negative;Savage Summoning;Legolas's Quick Reflexes;02;00;00;06;06;06;00;06;02;06;00;140
Silver Seraph;Radioactive Spider;Dovin's Veto;Venser, Shaper Savant;02;06;00;06;02;02;00;00;02;02;02;140
BlackHole;Near-Death Experience;Wall Crawl;Duress;00;00;00;00;04;03;00;00;00;00;00;140
Optimiert;Karakas;Wasteland;Arachne, Psionic Weaver;00;00;02;01;00;02;00;02;00;02;00;140
The Beast;Phyrexian Reclamation;Children of Korlis;Venom, Eddie Brock;00;00;02;03;02;00;00;00;00;00;06;140
hug77;Iron Spider, Stark Upgrade;Aven Interrupter;Aven Interrupter;06;06;06;06;06;06;00;06;01;06;06;140
lollonator;Vexing Shusher;Lavinia, Azorius Renegade;Spider-Byte, Web Warden;00;00;06;06;02;06;00;00;06;01;06;140
The green one;Amazing Acrobatics;Frenzied Baloth;Ertai Resurrected;06;02;02;06;06;06;04;00;00;03;00;140
Sterni;Cosmic Spider-Man;Nix;Soulstone Sanctuary;00;00;02;06;02;06;00;04;03;00;00;140
Master_of_Desaster;Hullbreaker Horror;Funeral Charm;Radioactive Spider;06;06;02;06;06;00;00;00;06;06;00;140
