player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;round
Namse;Cavern of Souls;Wispmare;Fleeting Effigy;00;06;06;06;02;00;02;02;06;06;133
Master_of_Desaster;Leyline of Vitality;Force of Will;Snapback;00;00;02;02;02;06;06;06;06;02;133
BlackHole;Leyline of Vitality;Leyline of Sanctity;Leyline of Punishment;00;02;00;00;00;06;00;02;02;02;133
Schniggi;Gideon of the Trials;Black Lotus;The Tabernacle at Pendrell Vale;00;02;06;00;06;02;02;06;03;06;133
Silver Seraph;Leyline of the Guildpact;The Tabernacle at Pendrell Vale;Wasteland;02;02;06;00;00;06;04;02;06;06;133
lollonator;City of Traitors;Isochron Scepter;Geth's Verdict;06;00;00;02;00;00;00;06;00;00;133
hug77;Karakas;Leyline of Singularity;Leyline of Sanctity;02;00;06;02;01;06;00;00;06;06;133
Optimiert;Leyline of Anticipation;Black Lotus;Drake Familiar;02;00;02;00;02;00;06;00;06;02;133
Michael W;Serra's Sanctum;Leyline of Sanctity;Leyline of Vitality;00;00;02;03;00;06;00;00;00;02;133
Sterni;Leyline of Sanctity;Leyline of Vitality;Leyline of Singularity;00;02;02;00;00;06;00;02;02;00;133
