player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;result_11;result_12;round
Namse;Dismember;Inquisition of Kozilek;Hexdrinker;0;6;0;0;6;0;6;6;2;0;0;2;4;131
lollonator;Old-Growth Dryads;Old-Growth Dryads;Consulate Dreadnought;0;0;0;0;3;0;0;0;2;0;0;0;3;131
Schniggi;Crack the Earth;Crashing Footfalls;Leyline of Anticipation;6;6;0;0;6;6;6;6;2;6;2;6;6;131
hug77;Leyline of Sanctity;Crashing Footfalls;Portable Hole;6;6;6;0;6;6;6;0;0;6;6;6;6;131
Sterni;Fervent Champion;Bloodforged Battle-Axe;Judge's Familiar;0;3;0;0;0;0;1;0;0;0;0;0;0;131
Michael W;Old-Growth Dryads;Crack the Earth;Leyline of Anticipation;6;6;0;0;6;0;6;2;2;2;0;2;6;131
Silver Seraph;Dark Depths;Aether Vial;Vampire Hexmage;0;6;0;0;4;0;0;0;0;0;0;0;0;131
BlackHole;Maze of Ith;Innocent Blood;Helix Pinnacle;0;6;0;6;6;2;6;0;0;0;0;6;0;131
Optimiert;Sleep-Cursed Faerie;Force of Will;Judge's Familiar;2;2;2;6;6;2;6;6;0;2;2;2;0;131
The Beast;Leyline of Anticipation;Crack the Earth;Sleep-Cursed Faerie;6;6;0;0;6;2;6;6;2;0;0;6;6;131
Sedris;Leyline of Anticipation;Crack the Earth;Crashing Footfalls;6;6;2;0;6;6;6;6;2;6;0;6;6;131
hoempes;Swarm Shambler;Path to Exile;Funeral Charm;2;6;0;0;6;2;6;0;2;0;0;0;2;131
Master_of_Desaster;Hexdrinker;Ragavan, Nimble Pilferer;Detention Vortex;1;3;0;0;6;0;6;6;6;0;0;2;0;131
