player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;round
Namse;Wasteland;Karakas;Inkmoth Nexus;00;00;00;06;00;02;06;06;00;06;06;93
Kratos Aurion;Black Lotus;Bloated Contaminator;Wasteland;06;00;00;06;00;06;03;06;00;02;06;93
Michael W;Black Lotus;As Foretold;Weatherseed Treefolk;06;06;00;06;06;06;00;00;03;06;00;93
BlackHole;Orzhov Basilica;Volrath's Stronghold;Necrotic Sliver;00;00;00;00;00;00;00;00;00;00;00;93
Silver Seraph;Black Lotus;Rose Tyler;Pithing Needle;06;06;00;06;00;06;03;06;00;02;06;93
lollonator;Karakas;Wasteland;Mishra's Factory;02;00;00;06;00;00;06;06;00;06;06;93
Master_of_Desaster;Black Lotus;Dark Depths;Vampire Hexmage;00;03;06;06;03;00;00;04;01;06;04;93
hug77;Lion's Eye Diamond;Emrakul, the Aeons Torn;Shelldock Isle;00;00;06;06;00;00;01;00;06;06;04;93
P0LTERGEIST;Black Lotus;Liliana of the Veil;Nether Spirit;06;06;03;06;06;06;04;00;00;06;06;93
lordfire;City of Traitors;Lupine Prototype;Lupine Prototype;00;02;00;06;02;00;00;00;00;00;00;93
The Beast;Dark Depths;Urborg, Tomb of Yawgmoth;Vampire Hexmage;00;00;06;06;00;00;01;01;00;06;00;93
