player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;result_11;result_12;result_13;round
Namse;Maze of Ith;Inkmoth Nexus;Worldknit;00;06;06;06;02;06;00;00;06;02;06;06;02;06;10
The green one;Phyrexian Dreadnought;Brago's Favor;Phyrexian Dreadnought;00;00;00;02;00;02;02;06;00;00;00;06;00;03;10
The Beast;Trinisphere;Crystalline Giant;Power Play;00;06;00;06;06;00;06;06;06;03;06;06;06;06;10
DaCurEmi;Feudkiller's Verdict;Double Stroke;Feudkiller's Verdict;00;02;00;00;01;02;04;06;00;00;00;02;00;03;10
Bongoking;Nether Spirit;Brago's Favor;Black Lotus;02;06;00;04;00;06;03;02;00;06;00;00;01;02;10
BlackHole;Phyrexian Dreadnought;Brago's Favor;Phyrexian Dreadnought;00;02;06;02;00;00;02;06;00;00;00;06;00;06;10
Michael W;Karn Liberated;Brago's Favor;Karn Liberated;06;02;00;01;03;02;00;02;00;00;00;01;00;03;10
Choke;Punishing Fire;Double Stroke;Punishing Fire;06;00;00;00;02;00;02;00;06;06;06;03;00;00;10
NumiChan;Force of Will;Natural Unity;Dryad Arbor;00;06;00;06;06;06;06;00;00;06;06;00;06;00;10
hoempes;Black Lotus;Liliana of the Veil;Power Play;02;06;03;06;00;06;06;00;00;00;00;02;02;06;10
hug77;Memnite;Muzzio's Preparations;Memnite;00;06;00;06;06;06;06;00;00;06;00;00;06;00;10
lollonator;Phyrexian Walker;Phyrexian Walker;Weight Advantage;00;00;00;02;06;00;04;03;06;02;06;00;00;00;10
MagicStorm;Dark Depths;Assemble the Rank and Vile;Vampire Hexmage;02;06;00;06;04;06;06;06;00;02;00;06;00;03;10
Hasran Ogress;Thalia, Guardian of Thraben;Mayor of Avabruck // Howlpack Alpha;Hymn of the Wilds;00;03;00;03;02;00;03;06;06;00;06;06;03;00;10
