player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;round
Namse;City of Traitors;Painter's Servant;Demon of Death's Gate;00;00;00;01;02;06;06;03;03;00;00;59
IMP;Scalding Tongs;Ensnaring Bridge;Mishra's Workshop;06;00;06;06;06;06;06;00;06;01;06;59
hug77;Dark Depths;Vampire Hexmage;Urborg, Tomb of Yawgmoth;06;00;00;00;02;00;06;06;00;00;02;59
BlackHole;Lion's Eye Diamond;Dread Return;Iona, Shield of Emeria;04;00;06;00;00;06;06;06;03;00;00;59
The Beast;The Tabernacle at Pendrell Vale;Mishra's Factory;Wasteland;02;00;02;06;00;02;02;02;02;06;02;59
lollonator;Wasteland;Cathedral of War;Porcelain Legionnaire;00;00;06;00;02;00;03;00;00;00;06;59
Kratos Aurion;Gaea's Cradle;Retrofitter Foundry;Leyline of Anticipation;00;00;00;00;02;03;00;00;00;00;02;59
Michael W;Huatli, the Sun's Heart;Gaea's Cradle;Nissa, Voice of Zendikar;03;06;00;00;02;06;06;00;03;00;06;59
Master_of_Desaster;Gaea's Cradle;Trinisphere;Hexdrinker;03;00;06;03;02;06;06;03;00;06;02;59
P0LTERGEIST;Force of Will;Snapback;Chancellor of the Forge;06;04;06;06;00;06;06;06;00;00;06;59
The green one;Mishra's Workshop;Jinxed Choker;Ensnaring Bridge;06;00;02;06;02;00;02;00;02;00;00;59
