player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;round
Namse;Black Lotus;Leonin Squire;Empty the Warrens;00;06;00;04;03;03;03;04;00;06;157
Silver Seraph;Mishra's Workshop;Lupine Prototype;Wheel of Torture;00;00;00;03;06;06;03;00;06;00;157
Schniggi;Sorin, Imperious Bloodlord;Black Lotus;Ghalta and Mavren;06;06;00;06;03;03;06;06;00;00;157
BlackHole;Black Lotus;Simian Spirit Guide;Minsc & Boo, Timeless Heroes;01;03;00;00;03;03;06;03;06;03;157
lollonator;Black Lotus;Funeral Charm;Bitterblossom;03;00;03;03;00;00;06;03;03;00;157
The Beast;Mishra's Workshop;Trinisphere;Lupine Prototype;03;00;03;03;06;00;03;03;03;04;157
Optimiert;Wasteland;Mayor of Avabruck // Howlpack Alpha;Elvish Spirit Guide;03;03;00;00;00;03;00;00;02;00;157
Michael W;Nissa, Ascended Animist;Black Lotus;Argivian Find;01;06;00;03;03;03;06;00;06;03;157
Master_of_Desaster;Black Lotus;Sol Ring;Magus of the Tabernacle;06;00;06;00;03;03;02;00;00;02;157
hug77;Black Lotus;Anurid Scavenger;Wild Magic Surge;00;06;06;03;06;01;06;03;02;00;157
