player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;round
Namse;Black Lotus;Exhume;Colossal Skyturtle;00;02;04;06;04;06;02;02;04;03;00;49
IMP;Dauthi Voidwalker;Dokuchi Silencer;Peat Bog;02;00;06;06;06;03;00;06;00;03;06;49
SoulCollector;Island;Stifle;Thousand-Faced Shadow;01;00;00;00;02;00;02;02;00;02;00;49
Kratos Aurion;Fountain of Cho;Parhelion II;Hotshot Mechanic;00;00;06;00;00;00;00;06;00;00;06;49
lollonator;Swamp;Okiba Reckoner Raid;Funeral Charm;01;00;02;06;00;00;06;06;01;00;06;49
BlackHole;Tribute to Horobi;Distress;Peat Bog;00;03;06;06;06;00;01;06;00;01;06;49
Michael W;City of Traitors;The Tabernacle at Pendrell Vale;Reckoner Bankbuster;02;06;02;06;00;04;00;02;02;06;06;49
The Beast;The Long Reach of Night;Black Lotus;Cathedral of War;02;00;02;00;00;00;02;00;00;00;02;49
hug77;Black Lotus;Leonin Squire;The Wandering Emperor;01;06;06;06;04;06;02;06;00;01;06;49
P0LTERGEIST;Black Lotus;Phyrexian Revoker;The Restoration of Eiganjo;03;03;02;06;06;04;00;06;04;00;06;49
Master_of_Desaster;Black Lotus;Dryad Arbor;The Long Reach of Night;06;00;06;06;00;00;00;02;00;00;00;49
