player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;round
Namse;Black Lotus;Hatchery Sliver;Memnite;00;00;02;00;06;06;06;00;00;02;00;116
Silver Seraph;Black Lotus;Anointed Peacekeeper;Force of Negation;06;00;00;06;06;06;06;06;00;00;02;116
Master_of_Desaster;Commandeer;Subtlety;Chancellor of the Forge;02;06;00;02;00;02;01;00;00;02;06;116
BlackHole;Black Lotus;Snapback;Plague Engineer;06;00;02;00;06;06;06;02;00;02;00;116
Michael W;Mutavault;City of Traitors;Retrofitter Foundry;00;00;06;00;00;06;06;06;00;06;06;116
Daeron;Kher Keep;Rakdos Carnarium;Dragon Tempest;00;00;02;00;00;00;02;00;02;02;00;116
lollonator;Forest;Young Wolf;Emerald Charm;00;00;04;00;00;02;00;04;00;02;00;116
hug77;Karakas;Leyline of Singularity;Chaplain of Alms // Chapel Shieldgeist;06;00;06;02;00;06;01;00;06;06;00;116
hoempes;Swarm Shambler;Forest;Force of Negation;06;06;06;06;06;02;06;00;00;06;06;116
P0LTERGEIST;Commandeer;Snapback;Chancellor of the Forge;02;06;02;02;00;02;02;00;00;00;06;116
lordfire;Anointed Peacekeeper;Black Lotus;Subtlety;06;02;00;06;00;06;06;06;00;00;00;116
