player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;round
Namse;Leyline of the Guildpact;City of Traitors;Scion of Draco;00;00;06;00;06;06;06;06;00;98
Michael W;Forest;Pick your Poison;Old-Growth Dryads;06;00;06;02;02;06;00;02;02;98
lollonator;Novice Inspector;Kuldotha Rebirth;Plateau;00;00;00;06;00;00;00;00;00;98
Master_of_Desaster;Hedge Maze;Drop of Honey;Helix Pinnacle;06;02;00;00;06;06;00;00;06;98
Silver Seraph;Saprazzan Skerry;Phantasmal Image;Watcher of Hours;00;02;06;00;00;00;00;00;00;98
hug77;Saprazzan Cove;The Tabernacle at Pendrell Vale;Living Conundrum;00;00;06;00;06;00;00;06;02;98
BlackHole;Karakas;Black Lotus;Kaya, Spirits' Justice;00;06;06;06;06;06;00;06;06;98
The Beast;Branch of Vitu-Ghazi;The Tabernacle at Pendrell Vale;Mishra's Factory;00;02;06;06;06;00;00;00;06;98
P0LTERGEIST;Extract a Confession;Bitterblossom;Peat Bog;06;02;06;00;06;02;00;00;00;98
