player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;round
Namse;City of Traitors;Void Mirror;Lupine Prototype;00;01;06;01;02;02;03;04;00;00;77
Kratos Aurion;Misthollow Griffin;Force of Will;Memnite;04;00;02;06;04;06;00;00;00;00;77
BlackHole;Galerider Sliver;Predatory Sliver;Tempered Sliver;00;02;00;03;00;00;00;00;00;06;77
Michael W;Urza's Saga;Sol Ring;Power Conduit;04;00;03;00;03;03;06;06;00;06;77
lordfire;Old-Growth Dryads;City of Traitors;Sphere of Resistance;02;01;06;03;00;02;06;06;02;00;77
The Beast;City of Traitors;Sphere of Resistance;True-Name Nemesis;02;00;06;03;02;00;04;06;00;06;77
P0LTERGEIST;Anointed Peacekeeper;Meddling Mage;Cabal Therapist;03;06;06;00;00;01;00;06;03;06;77
Master_of_Desaster;Meddling Mage;Anointed Peacekeeper;Grand Arbiter Augustin IV;01;06;06;00;00;00;00;00;00;06;77
hug77;Force of Will;Lavinia, Azorius Renegade;Sphinx of the Final Word;06;06;06;06;02;06;03;06;00;06;77
Bongoking;Maze of Ith;Sheltered Valley;Emrakul, the Aeons Torn;06;06;00;00;06;00;00;00;00;00;77
