player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;round
Namse;Leyline of the Void;City of Traitors;Lupine Prototype;00;04;00;06;01;06;06;06;00;04;143
Silver Seraph;Eumidian Hatchery;Specter's Shriek;Zuran Orb;01;00;06;00;03;03;06;00;06;06;143
lollonator;City of Traitors;Geth's Verdict;Isochron Scepter;06;00;00;03;00;06;03;06;06;03;143
Optimiert;Surgical Extraction;Kuldotha Rebirth;Great Furnace;00;06;03;00;00;06;06;02;00;06;143
The Beast;Mishra's Workshop;Trinisphere;Lupine Prototype;04;03;06;06;00;06;06;06;06;06;143
BlackHole;Shelldock Isle;Lion's Eye Diamond;Progenitus;00;03;00;00;00;00;03;00;00;06;143
hug77;Bayou;Ruthless Negotiation;Swarm Shambler;00;00;03;00;00;03;00;03;06;06;143
Michael W;Leyline of the Void;Urza's Saga;City of Traitors;00;06;00;02;00;06;03;00;00;06;143
Master_of_Desaster;Dark Depths;Urborg, Tomb of Yawgmoth;Vampire Hexmage;06;00;00;06;00;06;00;06;00;06;143
The green one;Forest;Tenacious Pup;Old-Growth Dryads;01;00;03;00;00;00;00;00;00;00;143
