player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;round
Namse;Maze of Ith;Hammerheim;Heartfire Hero;00;00;06;06;03;06;00;06;03;02;158
Schniggi;Stormscale Scion;Black Lotus;Black Lotus;06;00;03;06;06;06;06;06;06;06;158
Pumbaa6000;Reckless Waif // Merciless Predator;Cavern of Souls;Vexing Bauble;00;03;00;00;00;04;03;03;03;00;158
Michael W;Gruul Turf;Boseiju, Who Endures;Yidaro, Wandering Monster;00;00;06;00;06;00;00;03;00;06;158
BlackHole;Undiscovered Paradise;Fleeting Effigy;Storm World;03;00;06;00;00;00;00;00;00;03;158
lollonator;Wasteland;Mox Ruby;Village Messenger // Moonrise Intruder;00;00;01;06;06;00;00;00;00;00;158
hug77;Black Lotus;Black Lotus;Chandra Flamecaller;06;00;03;06;06;06;00;00;06;00;158
Master_of_Desaster;Black Lotus;Seething Song;Leveler;00;00;03;03;06;06;06;00;01;06;158
Optimiert;Court of Embereth;Black Lotus;Wasteland;03;00;03;06;06;06;00;04;00;06;158
The Beast;Taiga;Blisterpod;Chandra's Defeat;02;00;06;00;03;06;06;00;00;00;158
