player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;round
Namse;Black Lotus;Dark Ritual;Valgavoth, Terror Eater;00;03;03;00;06;00;00;03;00;00;138
Michael W;Lightstall Inquisitor;Karakas;Leyline of Singularity;03;00;06;02;06;00;02;02;06;00;138
The green one;Plains;Angel's Grace;Pact of the Titan;03;00;00;00;06;03;00;06;06;03;138
Master_of_Desaster;Black Lotus;Dark Ritual;Archon of Cruelty;06;02;06;00;06;06;02;06;06;06;138
lollonator;Black Lotus;Black Lotus;Chatterstorm;00;00;00;00;00;00;00;06;00;00;138
BlackHole;Sandstone Needle;Impact Tremors;Pact of the Titan;06;06;03;00;06;00;06;06;03;01;138
Silver Seraph;Fountain of Cho;The Tabernacle at Pendrell Vale;Archangel Elspeth;06;02;06;02;06;00;00;06;00;00;138
Optimiert;Karakas;Lightstall Inquisitor;Lightstall Inquisitor;03;02;00;00;00;00;00;00;00;02;138
The Beast;Pact of the Titan;Sandstone Needle;Ashling's Prerogative;06;00;00;00;06;03;06;06;00;01;138
hug77;Wasteland;Inkmoth Nexus;Mutagenic Growth;06;06;03;00;06;04;06;02;04;00;138
