player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;result_11;round
Namse;Tropical Island;Old-Growth Dryads;Daze;00;06;02;03;06;00;06;00;06;02;03;01;91
Master_of_Desaster;Chancellor of the Forge;Island;Foil;00;00;06;06;02;02;02;00;00;00;00;00;91
Kratos Aurion;Icatian Store;Avarice Totem;Nine Lives;02;00;00;00;00;02;00;00;00;00;00;00;91
Silver Seraph;Black Lotus;Gatekeeper of Malakir;Ego Drain;03;00;06;00;00;02;02;00;00;00;03;02;91
BlackHole;Chancellor of the Forge;Island;Foil;00;02;06;06;00;02;02;00;00;00;00;00;91
hug77;Liliana of the Veil;Phyrexian Crusader;Bottomless Vault;06;02;02;02;02;00;06;02;02;00;00;06;91
lollonator;Karakas;Isamaru, Hound of Konda;Portable Hole;00;02;06;02;02;00;00;00;00;02;00;00;91
Michael W;Treetop Village;Gruul Turf;Yidaro, Wandering Monster;06;06;06;06;06;02;06;00;06;06;00;06;91
The Beast;The Tabernacle at Pendrell Vale;Inkmoth Nexus;Karakas;00;06;06;06;06;02;06;00;00;03;00;00;91
Bongoking;Sheltered Valley;Mishra's Factory;The Tabernacle at Pendrell Vale;02;06;06;06;06;06;02;00;03;00;00;00;91
lordfire;Lupine Prototype;City of Traitors;Thorn of Amethyst;03;06;06;03;06;06;06;06;06;06;00;02;91
P0LTERGEIST;Fountain of Cho;Approach of the Second Sun;Solitude;04;06;06;02;06;00;06;00;06;06;02;00;91
