player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;round
Namse;Meddling Mage;Counterspell;An Offer You Can't Refuse;00;06;01;06;00;06;06;02;03;00;113
Silver Seraph;Crashing Footfalls;An Offer You Can't Refuse;Spell Queller;00;00;06;06;06;06;06;06;06;06;113
lollonator;Tidehollow Sculler;Thalia, Guardian of Thraben;Mother of Runes;04;00;00;03;00;06;03;04;02;00;113
Master_of_Desaster;Invisible Stalker;Taste for Mayhem;Counterspell;00;00;03;00;00;06;00;00;00;00;113
Michael W;Meddling Mage;Plumecreed Escort;Savage Summoning;06;00;06;06;00;06;06;06;06;00;113
The green one;Sanctum of Stone Fangs;Sanctum of Stone Fangs;Sanctum of Tranquil Light;00;00;00;00;00;00;00;06;00;00;113
BlackHole;Collective Brutality;Iona, Shield of Emeria;Exhume;00;00;03;06;00;06;00;06;00;00;113
The Beast;Smallpox;Nether Spirit;Counterflux;02;00;01;06;00;00;00;00;02;00;113
hug77;Nyxathid;Spell Snare;An Offer You Can't Refuse;03;00;02;06;00;06;06;02;00;00;113
P0LTERGEIST;Old-Growth Dryads;Aven Interrupter;Savage Summoning;06;00;06;06;06;06;06;06;06;00;113
