player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;round
Namse;Savannah;Curse of Silence;Ascendant Packleader;00;00;02;00;02;00;02;46
IMP;Thermo-Alchemist;Maze of Ith;Mercadian Bazaar;06;00;06;03;06;00;06;46
Master_of_Desaster;Black Lotus;Thalia, Guardian of Thraben;Curse of Silence;02;00;00;06;02;00;02;46
The Beast;Thalia, Guardian of Thraben;City of Traitors;Mox Pearl;06;03;00;00;00;00;00;46
Michael W;Leyline of Anticipation;Curse of Silence;Thalia, Guardian of Thraben;02;00;02;06;00;00;02;46
hug77;Wasteland;Borrowed Time;Faithbound Judge;06;06;06;06;06;00;06;46
The green one;Thalia, Guardian of Thraben;Curse of Silence;Leyline of Anticipation;02;00;02;06;02;00;00;46
