player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;round
Namse;The Tabernacle at Pendrell Vale;Inkmoth Nexus;Karakas;00;06;06;06;06;00;00;00;06;06;60
Kratos Aurion;Snapback;Force of Will;Dryad Arbor;00;00;06;06;02;02;02;06;02;02;60
Michael W;Black Lotus;City of Traitors;Stuffy Doll;00;00;00;00;00;03;03;00;00;00;60
BlackHole;Black Lotus;Black Lotus;Pristine Angel;00;00;06;00;00;00;00;00;00;06;60
The Beast;Force of Will;Snapback;Chancellor of the Forge;00;02;06;06;00;04;04;06;02;02;60
hug77;Mishra's Workshop;Scalding Tongs;Ensnaring Bridge;06;02;03;06;01;00;03;03;01;03;60
Master_of_Desaster;Mishra's Workshop;Ensnaring Bridge;Scalding Tongs;06;02;03;06;01;03;00;03;01;03;60
lollonator;City of Traitors;Geth's Verdict;Isochron Scepter;06;00;06;06;00;03;03;00;00;06;60
P0LTERGEIST;Force of Will;Snapback;Chancellor of the Forge;00;02;06;06;02;04;04;06;00;02;60
IMP;Gideon's Lawkeeper;Goblin Fireslinger;Plateau;00;02;06;00;02;03;03;00;02;00;60
