player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;round
Namse;The Tabernacle at Pendrell Vale;Sunken Citadel;Restless Reef;00;06;00;00;02;00;00;06;02;00;94
lollonator;Great Furnace;Goblin Tomb Raider;Goblin Tomb Raider;00;00;00;00;00;00;00;03;00;00;94
Silver Seraph;Volatile Fault;Captivating Cave;Mischievous Pup;06;06;00;02;06;01;03;03;06;04;94
The Beast;Volatile Fault;Cavernous Maw;Sunken Citadel;06;06;02;00;06;00;03;06;06;06;94
Michael W;Blast Zone;Sunken Citadel;Cavernous Maw;02;06;00;00;00;00;00;06;06;02;94
P0LTERGEIST;Cavernous Maw;Volatile Fault;Lupine Prototype;06;06;04;06;06;00;03;06;06;06;94
BlackHole;Forgotten Monument;Black Lotus;Palani's Hatcher;06;06;03;03;06;03;00;03;06;04;94
hug77;Forgotten Monument;Meddling Mage;Selesnya Charm;00;03;03;00;00;00;03;00;02;00;94
Sterni;Tithing Blade;Saheeli, the Sun's Brilliance;Forgotten Monument;02;06;00;00;00;00;00;02;00;00;94
Master_of_Desaster;Volatile Fault;Cavernous Maw;The Tabernacle at Pendrell Vale;06;06;01;00;02;00;01;06;06;00;94
