player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;round
Namse;Maze of Ith;Bane of Bala Ged;Saprazzan Cove;00;03;00;06;00;06;06;06;130
Optimiert;Island of Wak-Wak;City of Traitors;Idol of False Gods;03;00;00;06;01;06;06;02;130
Silver Seraph;Mishra's Workshop;Phyrexian Revoker;Wheel of Torture;06;06;00;00;06;06;00;03;130
Master_of_Desaster;Maze of Ith;Cathedral of War;Inkmoth Nexus;00;00;06;00;00;00;06;06;130
Schniggi;City of Traitors;Disruptor Flute;Idol of False Gods;06;04;00;06;00;06;06;04;130
BlackHole;City of Traitors;Isochron Scepter;Reality Hemorrhage;00;00;00;06;00;00;00;00;130
Michael W;City of Traitors;The Tabernacle at Pendrell Vale;Lupine Prototype;00;00;06;00;00;06;00;06;130
hug77;Black Lotus;Mishra's Workshop;Wurmcoil Engine;00;02;03;00;01;06;00;00;130
