player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;result_11;round
Namse;Black Lotus;Bitterblossom;Signal Pest;00;02;06;03;00;06;06;03;00;00;02;00;127
Sterni;Black Lotus;Bitterblossom;Signal Pest;02;00;06;03;00;06;06;03;00;00;02;00;127
Schniggi;Black Lotus;Eyeblight's Ending;Dryad Arbor;00;00;00;02;06;00;06;00;06;00;00;06;127
BlackHole;Black Lotus;Master of the Feast;Dryad Arbor;03;03;02;00;04;06;06;03;00;03;03;00;127
Silver Seraph;Tree of Tales;Urza's Saga;Twitching Doll;06;06;00;01;00;06;06;06;03;06;06;00;127
Optimiert;Ancient Den;Court Homunculus;Court Homunculus;00;00;06;00;00;00;00;00;00;00;00;00;127
lollonator;Black Lotus;Darksteel Citadel;Akroan Horse;00;00;00;00;00;06;00;00;00;00;00;00;127
Master_of_Desaster;Black Lotus;Bitterblossom;Myr Scrapling;03;03;06;03;00;06;06;00;00;03;03;00;127
Michael W;Black Lotus;Eater of Days;Darksteel Citadel;06;06;00;06;03;06;06;06;00;06;06;00;127
hug77;Black Lotus;Bitterblossom;Vault Skirge;06;06;06;03;00;06;06;03;00;00;06;00;127
The Beast;Black Lotus;Bitterblossom;Signal Pest;02;02;06;03;00;06;06;03;00;00;00;00;127
Sedris;Black Lotus;Phyrexian Dreadnought;Repudiate // Replicate;06;06;00;06;06;06;06;06;06;06;06;00;127
