player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;round
Namse;Leyline of Anticipation;Super Lotus;Grief;00;06;06;00;00;06;02;00;00;02;06;28
Michael W;Super Lotus;Black Lotus;Ugin, the Spirit Dragon;00;00;00;02;00;03;00;00;00;00;06;28
hug77;Leyline of Anticipation;Super Lotus;Entomber Exarch;00;06;00;00;00;06;00;00;00;00;00;28
BlackHole;Super Lotus;Noxious Revival;Shifting Ceratops;06;02;06;00;06;01;00;06;06;00;02;28
hoempes;Force of Will;Dryad Arbor;Slippery Bogle;06;06;06;00;00;06;06;02;02;06;00;28
The green one;Super Lotus;Thalia, Guardian of Thraben;Elite Spellbinder;00;03;00;04;00;00;00;00;00;00;06;28
The Beast;Leyline of Anticipation;Voidstone Gargoyle;Super Lotus;02;06;06;06;00;06;00;00;00;02;06;28
lollonator;Force of Will;Slippery Bogle;Dryad Arbor;06;06;06;00;02;06;06;00;02;06;00;28
Master_of_Desaster;Force of Will;Snapback;Dryad Arbor;06;06;06;00;02;06;06;02;00;06;00;28
NumiChan;Leyline of Anticipation;Super Lotus;Elite Spellbinder;02;06;06;06;00;06;02;00;00;00;06;28
P0LTERGEIST;Super Lotus;Noxious Revival;Thrun, the Last Troll;00;00;06;02;06;00;00;06;06;00;00;28
