player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;result_11;round
Namse;Cavern of Souls;Phyrexian Dreadnought;Phyrexian Dreadnought;00;00;00;06;01;00;03;00;06;06;06;02;128
Silver Seraph;Urborg, Tomb of Yawgmoth;Glacial Chasm;Dark Depths;06;00;02;02;06;02;00;00;06;02;06;06;128
Sedris;Cavern of Souls;Spear Spewer;Glacial Chasm;06;02;00;06;02;02;00;00;06;06;06;06;128
Sterni;City of Traitors;Phyrexian Dreadnought;Retrofitter Foundry;00;02;00;00;03;00;03;00;06;00;06;00;128
Michael W;Porphyry Nodes;Serra's Sanctum;Phyrexian Dreadnought;04;00;02;03;00;02;00;00;00;00;06;04;128
Schniggi;Cavern of Souls;Glacial Chasm;Goblin Fireslinger;06;02;02;06;02;00;00;00;06;06;06;06;128
lollonator;City of Traitors;Isochron Scepter;Geth's Verdict;03;06;06;03;06;06;00;00;00;00;06;03;128
hug77;Glacial Chasm;Dwarven Hold;Demonfire;06;06;06;06;06;06;06;00;06;06;06;06;128
The Beast;Pact of Negation;Pact of Negation;Pact of the Titan;00;00;00;00;06;00;06;00;00;02;06;06;128
BlackHole;Serra's Sanctum;March of the Canonized;Pact of Negation;00;02;00;06;06;00;06;00;02;00;06;00;128
Optimiert;Wasteland;Karakas;Mutavault;00;00;00;00;00;00;00;00;00;00;00;00;128
Master_of_Desaster;Urborg;Phyrexian Dreadnought;Phyrexian Dreadnought;02;00;00;06;01;00;03;00;00;06;06;00;128
