player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;result_11;result_12;round
Namse;Pact of Negation;Garth One-Eye;Jared Carthalion;00;06;03;03;00;03;06;03;03;03;06;03;03;103
The Beast;Thrun, Breaker of Silence;Pact of Negation;Pact of Negation;00;00;06;02;06;02;06;00;06;00;03;06;06;103
lollonator;Lodestone Golem;Deputy of Detention;Tidehollow Sculler;03;00;00;06;06;00;06;06;00;03;04;00;03;103
BlackHole;Near-Death Experience;Toxic Deluge;Pact of Negation;03;02;00;00;03;02;06;00;00;00;02;00;00;103
Daeron;City of Traitors;Approach of the Second Sun;Approach of the Second Sun;06;00;00;03;00;00;06;00;06;00;06;03;00;103
Michael W;Living Conundrum;Assassin's Trophy;Eternal Witness;03;02;06;02;06;00;06;03;03;03;06;04;03;103
thiefAaron;Force of Will;Misthollow Griffin;The Scarab God;00;00;00;00;00;00;00;03;00;03;06;03;00;103
hug77;Nicol Bolas, Dragon-God;Dryad's Revival;Lavinia, Azorius Renegade;03;06;00;06;06;03;03;00;03;03;06;03;03;103
Silver Seraph;Chamber Sentry;Covetous Urge;Fractured Identity;03;00;06;06;00;03;06;03;00;06;06;03;03;103
lordfire;Meddling Mage;Anointed Peacekeeper;Kenrith, the Returned King;03;06;03;06;06;03;03;03;00;00;06;03;03;103
hoempes;Force of Will;Ashiok Nightmare Muse;Restless Vinestalk;00;03;01;02;00;00;00;00;00;00;00;00;03;103
P0LTERGEIST;Longhorn Sharpshooter;Minsc & Boo, Timeless Heroes;Nicol Bolas, Dragon-God;03;00;06;06;03;01;03;03;03;03;06;00;06;103
Master_of_Desaster;Nicol Bolas, Dragon-God;Force of Will;Vronos, Masked Inquisitor;03;00;03;06;06;03;06;03;03;03;03;00;00;103
