player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;result_11;result_12;result_13;round
Namse;Sandstone Needle;Pardic Dragon;Wild Magic Surge;00;01;02;02;03;02;03;06;06;06;06;01;00;06;102
lordfire;Ancient Tomb;Lupine Prototype;Lupine Prototype;04;00;06;06;03;03;02;02;04;06;06;02;01;00;102
Michael W;Sunken Citadel;Treetop Village;Pick Your Poison;02;00;00;00;03;06;03;00;00;00;06;00;02;06;102
lollonator;Karakas;Isamaru, Hound of Konda;Path to Exile;02;00;06;00;02;00;02;06;06;02;00;00;01;06;102
BlackHole;Mishra's Factory;Mox Jet;Nezumi Shortfang // Stabwhisker the Odious;03;03;03;02;00;00;04;03;00;06;00;03;06;02;102
hoempes;Leyline of the Guildpact;Scion of Draco;Ancient Tomb;02;03;00;06;06;00;03;03;03;00;06;03;03;00;102
Silver Seraph;Crystal Vein;Anvil of Bogardan;Nether Spirit;03;02;03;02;01;03;00;04;01;02;03;02;00;03;102
thiefAaron;Swamp;Dark Ritual;Rotting Regisaur;00;02;06;00;03;03;01;00;06;03;06;02;06;06;102
hug77;Forest;Nature's Claim;Swarm Shambler;00;01;06;00;06;03;04;00;00;00;06;01;06;06;102
The Beast;Bottomless Vault;Smallpox;Nether Spirit;00;00;06;02;00;06;02;03;06;00;00;00;00;06;102
Master_of_Desaster;Ancient Tomb;Isochron Scepter;Lightning Helix;00;00;00;06;06;00;03;00;00;06;00;00;00;03;102
Lethal;Ancient Tomb;Lupine Prototype;Lupine Prototype;04;02;06;06;03;03;02;02;04;06;06;00;01;00;102
Daeron;Volcanic Island;Alpine Moon;Sleep-Cursed Faerie;06;04;02;04;00;03;06;00;00;06;06;04;00;00;102
P0LTERGEIST;Pick Your Poison;Pick Your Poison;Dryad Arbor;00;06;00;00;02;06;03;00;00;00;03;06;06;00;102
