player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;result_11;result_12;round
Namse;Black Lotus;Gideon of the Trials;Pact of Negation;00;06;06;06;06;03;06;01;06;06;06;03;06;118
Daeron;Mental Misstep;Force of Will;Pact of Negation;00;00;06;06;06;06;06;00;03;06;06;00;06;118
hoempes;Emrakul, the Aeons Torn;Shelldock Isle;Lion's Eye Diamond;00;00;00;00;00;06;00;00;00;06;06;00;03;118
Michael W;Black Lotus;Black Lotus;Timecrafting;00;00;06;00;03;00;00;00;00;00;06;00;00;118
Sterni;Black Lotus;Black Lotus;Timecrafting;00;00;06;03;00;00;00;00;00;00;06;00;00;118
lollonator;Mishra's Workshop;Torpor Orb;Phyrexian Dreadnought;03;00;00;06;06;00;02;03;03;03;06;03;03;118
Schniggi;Jhoira's Timebug;Ensnaring Bridge;Mishra's Workshop;00;00;06;06;06;02;00;00;01;06;06;00;00;118
Silver Seraph;Karakas;Curse of Silence;Angel's Grace;04;06;06;06;06;03;06;00;04;06;06;04;06;118
hug77;Karakas;Curse of Silence;Pact of Negation;00;03;06;06;06;03;04;01;00;06;06;00;06;118
BlackHole;Tropical Island;Daze;Old-Growth Dryads;00;00;00;06;06;03;00;00;00;00;00;00;03;118
The Beast;Mountain;Shivan Sand-Mage;Pyroblast;00;00;00;00;00;00;00;00;00;06;00;00;06;118
P0LTERGEIST;Black Lotus;Gideon of the Trials;Pact of Negation;03;06;06;06;06;03;06;01;06;06;06;00;06;118
Master_of_Desaster;Island;Into the Flood Maw;Stifle;00;00;03;06;06;03;06;00;00;03;00;00;00;118
