player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;round
Namse;Forest;Crashing Footfalls;Crashing Footfalls;00;06;06;06;06;06;06;06;00;81
Michael W;Boseiju, Who Endures;Wrenn and Six;Gruul Turf;00;00;03;06;00;06;00;00;00;81
lollonator;Swamp;Illness in the Ranks;Okiba Reckoner Raid;00;03;00;02;00;00;06;06;00;81
BlackHole;Fountain of Cho;The Book of Exalted Deeds;Mutavault;00;00;02;00;02;01;00;03;01;81
The Beast;Havenwood Battleground;Crashing Footfalls;Seal of Primordium;00;06;06;02;00;06;01;03;00;81
lordfire;Rushwood Grove;Rhonas's Last Stand;Paradox Zone;00;00;06;04;00;00;00;00;00;81
hug77;Rishadan Port;Mox Jet;Bitterblossom;00;06;00;06;04;06;00;03;04;81
P0LTERGEIST;Davriel, Rogue Shadowmage;Mox Jet;City of Traitors;00;06;00;03;03;06;03;00;03;81
Master_of_Desaster;Oran-Rief, the Vastwood;Crashing Footfalls;Crashing Footfalls;06;06;06;04;06;06;01;03;00;81
