player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;round
Namse;Leyline of the Void;City of Traitors;Lupine Prototype;00;06;02;06;06;02;00;06;01;02;114
Silver Seraph;Black Lotus;Dark Ritual;Karn Liberated;00;00;06;03;02;06;01;03;00;03;114
Michael W;The Tabernacle at Pendrell Vale;Wasteland;Mishra's Factory;02;00;00;06;00;02;01;06;06;04;114
BlackHole;Lion's Eye Diamond;Exhume;Iona, Shield of Emeria;00;03;00;00;03;00;03;03;03;03;114
Schniggi;Black Lotus;Dark Ritual;Cruel Reality;00;02;06;03;00;06;06;00;03;03;114
The Beast;The Tabernacle at Pendrell Vale;Mishra's Factory;Wasteland;02;00;02;06;00;00;01;06;06;04;114
hug77;Dark Depths;Black Lotus;Vampire Hexmage;06;04;04;03;00;04;00;00;03;06;114
Master_of_Desaster;Black Lotus;Argivian Find;Elemental Eruption;00;03;00;03;06;00;06;00;03;03;114
P0LTERGEIST;Anointed Peacekeeper;Anointed Peacekeeper;Black Lotus;04;06;00;03;03;00;03;03;00;04;114
The green one;City of Traitors;Lupine Prototype;Soulless Jailer;02;03;01;03;03;01;00;03;01;00;114
