player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;result_11;round
Namse;Black Lotus;Vampire Hexmage;Dark Depths;00;03;06;06;00;04;06;06;06;04;00;06;42
IMP;Black Lotus;Black Lotus;Vraska the Unseen;03;00;06;06;06;00;03;06;06;00;06;06;42
The Beast;Gaea's Cradle;Shield Sphere;Assault Formation;00;00;00;06;06;00;06;06;02;03;00;02;42
Michael W;Mishra's Factory;Mountain;Yidaro, Wandering Monster;00;00;00;00;00;06;00;04;06;00;02;00;42
hug77;Mishra's Workshop;Ensnaring Bridge;Copper Tablet;06;00;00;06;00;02;06;00;00;06;06;06;42
Bongoking;Davriel, Rogue Shadowmage;Black Lotus;Quicksand;01;06;06;00;02;00;00;06;06;06;06;06;42
GoDJi8;Forest;Crashing Footfalls;Crashing Footfalls;00;03;00;06;00;06;00;02;06;00;00;00;42
The green one;Hollow Trees;Shield Sphere;Assault Formation;00;00;00;01;06;00;02;00;02;00;00;02;42
BlackHole;Leyline of Anticipation;Black Lotus;Magus of the Moon;00;00;02;00;06;00;00;02;00;02;02;00;42
thiefAaron;Urborg, Tomb of Yawgmoth;Dark Depths;Thespian's Stage;01;06;03;06;00;00;06;06;02;00;00;06;42
Master_of_Desaster;Leyline of Singularity;Karakas;Isamaru, Hound of Konda;06;00;06;02;00;00;06;06;02;06;00;06;42
lollonator;Swamp;Culling the Weak;Phyrexian Obliterator;00;00;02;06;00;00;06;02;06;00;00;00;42
