player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;round
Namse;Wasteland;Mishra's Factory;Bojuka Bog;00;02;00;00;00;02;02;00;00;06;06;24
Master_of_Desaster;Mishra's Factory;Mishra's Factory;Wasteland;02;00;00;00;00;02;02;02;00;06;06;24
lollonator;Mountain;Village Messenger // Moonrise Intruder;Village Messenger // Moonrise Intruder;06;06;00;06;00;06;00;02;00;06;06;24
Michael W;Forest;Durkwood Baloth;Durkwood Baloth;06;06;00;00;06;06;00;06;00;06;06;24
Bongoking;Mishra's Workshop;Tezzeret's Simulacrum;Epochrasite;06;06;06;00;00;06;06;06;00;06;02;24
The Beast;Mishra's Factory;Mishra's Factory;Wasteland;02;02;00;00;00;00;02;02;00;06;06;24
The green one;Pendelhaven;Glistener Elf;Glistener Elf;02;02;06;06;00;02;00;06;00;06;06;24
hoempes;Scavenger Folk;Rogue Elephant;Forest;06;02;02;00;00;02;00;00;00;02;06;24
hug77;Plains;Cenn's Tactician;Cenn's Tactician;06;06;06;06;06;06;06;06;00;06;06;24
NumiChan;Force of Will;Dryad Arbor;Slippery Bogle;00;00;00;00;00;00;00;02;00;00;02;24
P0LTERGEIST;Karakas;Mishra's Factory;Disenchant;00;00;00;00;02;00;00;00;00;02;00;24
