player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;round
Namse;Swamp;Hopeless Nightmare;Tel-Jilad Stylus;00;00;06;03;06;00;03;06;00;88
hug77;Karakas;Curse of Silence;Charmed Stray;06;00;04;03;06;06;03;03;06;88
Michael W;The Tabernacle at Pendrell Vale;Doomed Traveler;Cavern of Souls;00;01;00;01;03;06;06;03;06;88
BlackHole;Black Lotus;Vampire Hexmage;Dark Depths;03;03;04;00;03;00;06;06;00;88
lollonator;City of Traitors;Isochron Scepter;Geth's Verdict;00;00;03;03;00;00;03;03;00;88
IMP;Force of Will;Memnite;Snapback;06;00;00;06;06;00;06;00;02;88
Kratos Aurion;Black Lotus;Hunted Phantasm;Circle of Flame;03;03;00;00;03;00;00;06;00;88
The Beast;Cavern of Souls;The Tabernacle at Pendrell Vale;Mogg Fanatic;00;03;03;00;03;06;00;00;06;88
P0LTERGEIST;Force of Will;Snapback;Chancellor of the Forge;06;00;00;06;06;02;06;00;00;88
