player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;round
Namse;Mishra's Workshop;Mana Vault;Platinum Angel;00;06;06;00;02;06;03;01;109
Silver Seraph;Mishra's Workshop;Wheel of Torture;Esika's Chariot;00;00;06;03;06;06;06;06;109
hug77;Mishra's Workshop;Lupine Prototype;Crystalline Giant;00;00;00;00;06;06;06;06;109
lollonator;Karakas;Isamaru, Hound of Konda;Kataki, War's Wage;06;03;06;00;03;02;02;04;109
BlackHole;Ancient Den;All That Glitters;Glint Hawk;02;00;00;03;00;06;00;00;109
P0LTERGEIST;Karakas;Rhys the Redeemed;Ajani, Nacatl Pariah // Ajani, Nacatl Avenger;00;00;00;02;00;00;06;04;109
Michael W;Chronomaton;Portable Hole;Cavern of Souls;03;00;00;02;06;00;00;04;109
Master_of_Desaster;Seat of the Synod;Vedalken Certarch;Vedalken Certarch;04;00;00;01;06;01;01;00;109
