player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;result_11;result_12;round
Namse;Maze of Ith;Galewind Moose;Kitnap;00;02;00;02;06;02;00;06;00;00;02;00;02;111
The Beast;Cruelclaw's Heist;Maha, Its Feathers Night;Swamp;02;00;03;06;03;02;06;06;00;02;00;03;06;111
Silver Seraph;Black Lotus;Cruelclaw's Heist;Season of the Burrow;06;03;00;06;06;06;02;06;01;06;00;03;02;111
lollonator;Stormchaser's Talent;Snapback;Force of Will;02;00;00;00;06;00;00;06;00;00;06;00;02;111
lordfire;Mishra's Workshop;Phyrexian Dreadnought;Torpor Orb;00;03;00;00;00;00;00;03;06;03;02;03;00;111
BlackHole;Fell;Barkform Harvester;Long River's Pull;02;02;00;06;06;00;01;06;01;03;02;00;02;111
thiefAaron;Season of the Burrow;Stormchaser's Talent;Force of Will;06;00;02;06;06;04;00;06;02;00;06;06;02;111
hoempes;Valley Floodcaller;Retraction Helix;Mox Sapphire;00;00;00;00;03;00;00;00;00;00;00;00;06;111
P0LTERGEIST;Cruelclaw's Heist;Season of the Burrow;Leyline of Sanctity;06;06;04;06;00;04;02;06;00;06;06;06;01;111
Michael W;Cruelclaw's Heist;Feed the Cycle;Maha, Its Feathers Night;06;02;00;06;03;03;06;06;00;00;00;00;02;111
Master_of_Desaster;Leyline of Anticipation;Black Lotus;Cruelclaw's Heist;02;06;06;00;02;02;00;06;00;06;00;06;02;111
hug77;Cruelclaw's Heist;Tender Wildguide;Black Lotus;06;03;03;06;03;06;00;06;00;06;00;00;02;111
The green one;The Tabernacle at Pendrell Vale;Urborg, Tomb of Yawgmoth;Hunted Horror;02;00;02;02;06;02;02;00;04;02;02;02;00;111
