player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;round
Namse;Pendelhaven;Crashing Footfalls;Crashing Footfalls;00;02;00;02;06;06;00;00;30
Michael W;Mishra's Workshop;Adaptive Automaton;Crucible of Worlds;02;00;02;02;00;06;00;00;30
Master_of_Desaster;Chancellor of the Spires;Force of Will;Chancellor of the Forge;06;02;00;06;06;06;00;06;30
hug77;Force of Will;Illusion // Reality;Thrun, the Last Troll;02;02;00;00;06;06;00;02;30
lollonator;Ancient Tomb;Isochron Scepter;Geth's Verdict;00;06;00;00;00;00;06;00;30
Bongoking;Wasteland;Maze of Ith;Crucible of Worlds;00;00;00;00;06;00;06;06;30
The Beast;Dark Depths;Thespian's Stage;Crystal Vein;06;06;06;06;00;00;00;06;30
The green one;Black Lotus;Primordial Hydra;Mistcutter Hydra;06;06;00;02;06;00;00;00;30
