player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;round
Namse;Black Lotus;Anurid Scavenger;Misguided Rage;00;06;03;04;03;03;00;01;03;06;06;62
IMP;Tale's End;Black Lotus;Phyrexian Dreadnought;00;00;06;06;00;06;02;00;06;03;06;62
Michael W;Urza's Saga;Sol Ring;Power Conduit;03;00;00;06;03;06;00;00;06;06;06;62
BlackHole;Ancient Tomb;Isochron Scepter;Lightning Helix;01;00;00;00;01;00;00;00;00;06;06;62
Kratos Aurion;Misguided Rage;Black Lotus;Anurid Scavenger;03;06;03;04;00;03;00;01;03;06;06;62
hug77;Mishra's Workshop;Lupine Prototype;Lupine Prototype;03;00;00;06;03;00;06;00;02;06;06;62
lordfire;Black Lotus;Leonin Squire;Ajani Vengeant;06;02;06;06;06;00;00;00;00;06;06;62
Master_of_Desaster;Black Lotus;Anointed Peacekeeper;Brutal Cathar;04;06;06;06;04;06;06;00;06;06;06;62
P0LTERGEIST;Mishra's Workshop;Lupine Prototype;Lupine Prototype;03;00;00;06;03;02;06;00;00;06;06;62
lollonator;Island;Judge's Familiar;Judge's Familiar;00;03;00;00;00;00;00;00;00;00;00;62
The Beast;Chancellor of the Forge;Chancellor of the Forge;Leyline of the Meek;00;00;00;00;00;00;00;00;00;06;00;62
