player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;result_11;round
Namse;Peat Bog;Collective Brutality;Bitterblossom;00;00;06;00;06;06;03;00;00;03;00;03;151
Schniggi;Boseiju, Who Endures;Black Lotus;Minsc & Boo, Timeless Heroes;06;00;06;06;00;06;03;03;06;06;02;06;151
tol;Orzhov Basilica;Mishra's Factory;Vindicate;00;00;00;00;06;06;00;00;02;00;00;01;151
Michael W;Wasteland;Sunken Citadel;Kher Keep;06;00;06;00;06;06;03;06;02;06;06;06;151
BlackHole;Force of Will;Snapback;Ornithopter;00;06;00;00;00;02;02;06;00;00;06;00;151
The Beast;Ornithopter;Gut Shot;Mental Misstep;00;00;00;00;02;00;03;00;02;06;00;00;151
Silver Seraph;Black Lotus;Gut Shot;Davriel, Rogue Shadowmage;03;03;06;03;02;03;00;00;06;00;00;06;151
Optimiert;Black Lotus;Duress;Bitterblossom;06;03;06;00;00;06;06;00;00;00;03;00;151
lollonator;Wasteland;Inkmoth Nexus;The Tabernacle at Pendrell Vale;06;00;02;02;06;02;00;06;00;06;02;02;151
Sterni;Undiscovered Paradise;Sazh's Chocobo;Swarm Shambler;03;00;06;00;06;00;06;06;00;00;00;00;151
hug77;Lion's Eye Diamond;Emrakul, the Aeons Torn;Shelldock Isle;06;02;06;00;00;06;06;03;02;06;00;06;151
Master_of_Desaster;City of Traitors;Steel Overseer;Steel Overseer;03;00;04;00;06;06;00;06;02;06;00;00;151
