player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;round
Namse;Starting Town;Dread Fugue;Old-Growth Dryads;00;00;00;06;06;04;03;03;01;02;00;145
Silver Seraph;Mishra's Workshop;Iron Spider, Stark Upgrade;Wheel of Torture;06;00;00;06;06;06;00;03;06;06;03;145
Schniggi;Mishra's Workshop;Iron Spider, Stark Upgrade;Karakas;06;06;00;00;06;02;03;00;06;06;06;145
lollonator;Candletrap;Karakas;Figure of Destiny;00;00;06;00;01;02;00;00;00;02;02;145
BlackHole;Tundra;Figure of Fable;Daze;00;00;00;04;00;03;00;00;01;01;00;145
Optimiert;Gifted Aetherborn;Clawing Torment;Black Lotus;01;00;02;02;03;00;00;00;00;00;00;145
Michael W;Starting Town;Black Lotus;Oko, Thief of Crowns;03;06;03;06;06;06;00;03;06;00;06;145
The Beast;Starnheim Unleashed;City of Traitors;Black Lotus;03;03;06;06;06;06;03;00;06;06;06;145
hug77;Starting Town;Swarm Shambler;Path to Exile;04;00;00;06;04;06;00;00;00;06;06;145
Master_of_Desaster;Starting Town;Old-Growth Dryads;Detention Vortex;02;00;00;02;04;06;06;00;00;00;01;145
The green one;Iron Spider, Stark Upgrade;Mishra's Workshop;Steel Golem;06;03;00;02;06;06;00;00;00;04;00;145
