player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;round
Namse;Mountain;Force of Will;Snapback;00;03;00;06;02;06;06;06;06;03;00;112
Silver Seraph;City of Traitors;Scion of Draco;Leyline of the Guildpact;03;00;06;06;06;00;06;03;03;00;06;112
lollonator;Leyline of Sanctity;Wasteland;Mountain;06;00;00;06;00;06;00;06;02;03;06;112
IMP;Kor Firewalker;Cavern of Souls;Mountain;00;00;00;00;00;00;00;00;00;00;00;112
Michael W;Mishra's Workshop;Iron Maiden;Leyline of Sanctity;02;00;06;06;00;00;00;02;03;00;00;112
hug77;Shelldock Isle;Lion's Eye Diamond;Emrakul, the Aeons Torn;00;06;00;06;06;00;03;06;00;06;03;112
The green one;Rustvale Bridge;Goblin Guide;Curse of Silence;00;00;06;06;06;03;00;02;00;00;00;112
hoempes;Plateau;Mox Ruby;Circle of Protection: Red;00;03;00;06;02;00;02;00;00;00;03;112
The Beast;Mishra's Workshop;Trinisphere;Iron Maiden;00;03;02;06;03;06;06;06;00;06;03;112
BlackHole;Mountain;Force of Vigor;Nourishing Shoal;03;06;03;06;06;00;06;06;00;00;03;112
P0LTERGEIST;Badlands;Death's Shadow;Duress;06;00;00;06;06;03;06;03;03;03;00;112
