player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;round
Namse;Dark Depths;Meddling Mage;Maelstrom Pulse;00;03;03;00;00;06;00;03;03;06;01;119
Silver Seraph;Dark Depths;Vampire Hexmage;Dread Fugue;03;00;03;01;03;06;00;03;02;06;01;119
Sterni;Cruelclaw's Heist;The Tabernacle at Pendrell Vale;Oko, Thief of Crowns;03;03;00;03;06;06;06;00;03;06;03;119
Michael W;Dark Depths;Maze of Ith;Oko, Thief of Crowns;06;04;03;00;03;03;06;03;06;06;03;119
lollonator;Karakas;Tidehollow Sculler;Reflector Mage;06;03;00;03;00;00;00;03;03;02;03;119
BlackHole;Leyline of the Meek;Leyline of the Meek;Leyline of the Meek;00;00;00;03;06;00;06;00;00;02;00;119
Moët;Anointed Peacekeeper;Black Lotus;Leyline of Anticipation;06;06;00;00;06;00;00;06;06;02;06;119
hug77;Dark Depths;Vampire Hexmage;Davriel, Rogue Shadowmage;03;03;06;03;03;06;00;00;04;06;03;119
The Beast;Dark Depths;Vampire Hexmage;Reanimate;03;02;03;00;03;06;00;01;00;06;03;119
Master_of_Desaster;City of Traitors;Smuggler's Copter;Smuggler's Copter;00;00;00;00;02;02;02;00;00;00;00;119
P0LTERGEIST;Dark Depths;Cruelclaw's Heist;Archmage's Charm;04;04;03;03;03;06;00;03;03;06;00;119
