player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;result_11;round
Namse;Tidehollow Sculler;Counterspell;Assassin's Trophy;00;02;06;04;01;06;06;06;04;04;04;00;29
lollonator;Leyline of Anticipation;Thalia, Guardian of Thraben;Tidehollow Sculler;02;00;06;06;02;00;06;06;00;00;06;00;29
The Beast;Illusions of Grandeur;Donate;Counterspell;00;00;00;03;03;06;06;06;04;06;00;00;29
Bongoking;Meddling Mage;Grief;Flash;01;00;03;00;01;00;06;06;06;03;00;00;29
Master_of_Desaster;Meddling Mage;Counterspell;Diabolic Edict;04;02;03;04;00;06;06;06;04;03;04;00;29
Michael W;Disallow;Thespian's Stage;Dark Depths;00;06;00;06;00;00;06;06;06;00;06;06;29
hoempes;Sneak Attack;Emrakul, the Aeons Torn;Children of Korlis;00;00;00;00;00;00;00;06;03;00;00;00;29
NumiChan;Leyline of Anticipation;Memnite;Demonfire;00;00;00;00;00;00;00;00;00;00;00;00;29
hug77;Chancellor of the Dross;Chancellor of the Dross;Unmask;01;06;01;00;01;00;03;06;00;00;02;06;29
The green one;Death's Shadow;Death's Shadow;Archmage's Charm;01;06;00;03;03;06;06;06;06;00;06;06;29
BlackHole;Chancellor of the Dross;Force of Will;Misdirection;01;00;06;06;01;00;06;06;02;00;00;06;29
P0LTERGEIST;Savage Summoning;Lavinia, Azorius Renegade;Spell Queller;06;06;06;06;06;00;06;06;00;00;00;00;29
