player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;round
Namse;Starting Town;Inkmoth Nexus;Bitterblossom;00;00;00;06;03;06;00;00;06;03;132
Schniggi;Starting Town;Black Lotus;Minsc & Boo, Timeless Heroes;06;00;03;06;00;00;06;03;00;06;132
Master_of_Desaster;Hraesvelgr of the First Brood;Black Lotus;City of Traitors;06;03;00;06;06;06;06;06;00;06;132
BlackHole;Maze of Ith;Hollow Trees;Jumbo Cactuar;00;00;00;00;00;06;00;03;06;06;132
lollonator;Karakas;Adventurer's Inn;Retrofitter Foundry;03;06;00;06;00;02;06;06;00;00;132
Silver Seraph;Karakas;Portable Hole;Stiltzkin, Moogle Merchant;00;06;00;00;02;00;00;00;06;06;132
Optimiert;Sazh's Chocobo;Undiscovered Paradise;Iridescent Vinelasher;06;00;00;06;00;06;00;06;06;00;132
Michael W;Summon: Good King Mog XII;Black Lotus;City of Traitors;06;03;00;03;00;06;00;00;00;06;132
The Beast;Leyline of Anticipation;Black Lotus;Hecteyes;00;06;06;00;06;00;00;06;00;00;132
hug77;Inkmoth Nexus;Sphere Grid;Mox Emerald;03;00;00;00;06;00;06;00;06;00;132
