player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;round
Namse;Ancient Tomb;Isochron Scepter;Assassin's Trophy;00;06;06;06;06;06;00;06;70
Kratos Aurion;Tainted Remedy;Black Lotus;Heliod's Intervention;00;00;00;06;00;00;00;06;70
hug77;Sneak Attack;Ulamog, the Infinite Gyre;Hall of the Bandit Lord;00;06;00;06;06;06;00;06;70
The Beast;Tainted Remedy;Hex Parasite;Black Lotus;00;00;00;00;00;00;00;00;70
Michael W;The Tabernacle at Pendrell Vale;Gideon of the Trials;Pact of Negation;00;06;00;06;00;06;00;02;70
BlackHole;Lion's Eye Diamond;Unburial Rites;Platinum Emperion;00;06;00;06;00;00;00;00;70
P0LTERGEIST;Mangara of Corondor;Karakas;Adanto Vanguard;06;06;06;06;06;06;00;06;70
Master_of_Desaster;Leyline of Punishment;The Tabernacle at Pendrell Vale;Demonfire;00;00;00;06;02;06;00;00;70
