player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;round
Namse;Black Lotus;Lurrus of the Dream-Den;Spiketail Drakeling;00;06;03;06;03;03;06;00;03;06;142
The Beast;Rishadan Port;Urborg, Tomb of Yawgmoth;Maze of Ith;00;00;00;02;06;06;02;02;00;02;142
Silver Seraph;Wasteland;Mox Sapphire;Azure Beastbinder;03;06;00;06;06;06;06;02;00;06;142
lollonator;Pendelhaven;Cathedral of War;Glistener Elf;00;02;00;00;00;06;03;02;00;06;142
BlackHole;Black Lotus;Black Lotus;Wurmcoil Engine;03;00;00;06;00;03;06;00;03;00;142
Optimiert;Wasteland;Lotus Petal;Thalia, Guardian of Thraben;03;00;00;00;03;00;00;00;03;00;142
The green one;Crack the Earth;Mountain;Dunes of the Dead;00;02;00;03;00;06;00;02;00;02;142
hug77;Leyline of Singularity;Karakas;Wasteland;06;02;02;02;06;06;02;00;06;02;142
Michael W;Black Lotus;Liliana of the Veil;Lurrus of the Dream-Den;03;06;06;06;03;03;06;00;00;06;142
Master_of_Desaster;Wasteland;The Tabernacle at Pendrell Vale;Dryad Arbor;00;02;00;00;06;06;02;02;00;00;142
