player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;round
Namse;Mono Land;Leatherback Baloth;Healer's Flock;00;00;00;00;00;06;00;00;00;00;80
Kratos Aurion;Mono Land;Black Lotus;Frost Titan;06;00;00;03;03;02;00;00;00;06;80
BlackHole;Leyline of Anticipation;Black Lotus;Magus of the Moon;06;06;00;00;06;06;02;06;02;06;80
Michael W;Mono Land;Magus of the Moon;Dismember;06;03;06;00;04;03;06;04;06;06;80
lordfire;Mono Land;Anointed Peacekeeper;Skyclave Apparition;06;03;00;01;00;06;00;03;00;06;80
The Beast;Mono Land;Great Sable Stag;Mental Misstep;00;02;00;03;00;00;00;00;00;00;80
hug77;Leyline of Anticipation;Black Lotus;Magus of the Moon;06;06;02;00;06;06;00;06;02;06;80
lollonator;Grey Land;Akroan Horse;Walking Ballista;06;06;00;01;03;06;00;00;00;04;80
P0LTERGEIST;Black Lotus;Leyline of Anticipation;Magus of the Moon;06;06;02;00;06;06;02;06;00;06;80
Master_of_Desaster;Mono Land;Anurid Scavenger;Misguided Rage;06;00;00;00;00;06;00;01;00;00;80
