player;card_1;card_2;card_3;card_4;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;round
Namse;Black Lotus;Soltari Visionary;Wasteland;Okiba Reckoner Raid // Nezumi Road Captain;00;00;03;02;06;06;06;00;02;00;00;47
NumiChan;Leyline of Anticipation;Black Lotus;Nevermore;Okiba Reckoner Raid // Nezumi Road Captain;06;00;02;02;06;00;00;02;02;06;00;47
IMP;Maze of Ith;Infernal Grasp;Urborg, Tomb of Yawgmoth;Okiba Reckoner Raid // Nezumi Road Captain;03;02;00;00;00;00;02;02;00;00;02;47
Michael W;Mishra's Workshop;Ensnaring Bridge;Power Conduit;Okiba Reckoner Raid // Nezumi Road Captain;02;02;06;00;01;00;00;06;06;02;06;47
The Beast;Daze;Underground Sea;Mishra's Factory;Tribute to Horobi // Echo of Death's Wail;00;00;06;04;00;06;03;03;04;03;06;47
hug77;Brazen Borrower // Petty Theft;Saprazzan Cove;Maze of Ith;Kiora Bests the Sea God;00;06;06;06;00;00;03;02;06;06;06;47
BlackHole;Rushwood Grove;Dryad Arbor;Force of Vigor;Tales of Master Seshiro // Seshiro's Living Legacy;00;06;02;06;03;03;00;00;02;00;06;47
The green one;Black Lotus;Nyxathid;Shining Shoal;The Kami War // O-Kagachi Made Manifest;06;02;02;00;03;02;06;00;00;02;00;47
P0LTERGEIST;Mishra's Workshop;Ensnaring Bridge;Scalding Tongs;Okiba Reckoner Raid // Nezumi Road Captain;02;02;06;00;01;00;02;06;00;06;06;47
Master_of_Desaster;Karakas;Black Lotus;Black Lotus;Kiora Bests the Sea God;06;00;06;02;03;00;06;02;00;00;06;47
lollonator;Misdirection;Snapback;Memnite;Okiba Reckoner Raid // Nezumi Road Captain;06;06;02;00;00;00;00;06;00;00;00;47
